Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount-Leg 1,Call amount-Leg 2,Call currency-Leg 1,Call currency-Leg 2,Put amount-Leg 1,Put amount-Leg 2,Put currency-Leg 1,Put currency-Leg 2,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location-Leg 1,Settlement location-Leg 2,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type
"722295933","669349276","TERM","EXER","2023-08-19T01:47:00Z","","FX","ForeignExchange:NDO","N","false","2023-06-21T14:39:25Z","2023-08-18","2023-08-18","2023-08-23","false","TSEF","false","false","true","12,491,125","52,900,000,000","USD","COP","","","","","","","","","","","","","","","","","52899914375","","COP","","12491125","","USD","","4,235","USD/COP","2023-08-18","","","302,909.78125","USD","","","","","","","4,235","USD/COP","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","","","","","false","","","","","","","","","PUT","EUROPEAN","true","9.9999999999","","3","","","","","Cash"
"722295934","669349282","TERM","EXER","2023-08-19T01:46:59Z","","FX","ForeignExchange:NDO","N","false","2023-06-21T14:39:37Z","2023-08-18","2023-08-18","2023-08-23","false","TSEF","false","false","true","12,491,125","52,900,000,000","USD","COP","","","","","","","","","","","","","","","","","52899914375","","COP","","12491125","","USD","","4,235","USD/COP","2023-08-18","","","302,909.78125","USD","","","","","","","4,235","USD/COP","false","","","","","1","","","","","","","","","","","","","","","","","","","","USD","","","","","false","","","","","","","","","PUT","EUROPEAN","true","9.9999999999","","3","","","","","Cash"
"721018118","","NEWT","TRAD","2023-08-18T05:30:42Z","false","FX","ForeignExchange:Forward","N","false","2023-08-18T05:30:42Z","2023-08-18","2023-08-21","","false","XXXX","false","false","true","3,000,000","249,239,700","USD","INR","","","","","","","","","","","","","","","","","","","","","","","","","83.0799","USD/INR","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","INR","","","","false","","","","","","","","","","","true","","","","0.000099","","3","",""
"722298483","631712232","MODI","TRAD","2023-08-19T05:34:28Z","true","FX","ForeignExchange:NDF","N","false","2023-05-23T14:44:19Z","2023-05-23","2023-08-23","","false","XXXX","true","false","true","5,800,000,000","1,259,363","COP","USD","","","","","","","","","","","","","","","","","","","","","","","","","4,605.5","USD/COP","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","","false","","","","","","","","","","","false","","","","","","","","Cash"
"722298484","692319113","MODI","TRAD","2023-08-19T05:34:37Z","true","FX","ForeignExchange:NDF","N","false","2023-07-18T13:14:43Z","2023-07-18","2023-08-22","","false","XXXX","true","false","true","5,766,950,000","7,000,000","CLP","USD","","","","","","","","","","","","","","","","","","","","","","","","","823.85","USD/CLP","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","","false","","","","","","","","","","","false","","","","","","","","Cash"
"722298485","720838994","MODI","TRAD","2023-08-19T05:34:38Z","true","FX","ForeignExchange:NDF","N","false","2023-08-16T16:28:13Z","2023-08-17","2023-08-23","","false","XXXX","false","false","true","200,000,000,000","49,043,500","COP","USD","","","","","","","","","","","","","","","","","","","","","","","","","4,078","USD/COP","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","","false","","","","","","","","","","","false","","","","","","","","Cash"
"722302179","549908565","CORR","","2022-12-22T18:29:51Z","","FX","ForeignExchange:VanillaOption","N","false","2022-12-22T18:29:51Z","2022-12-22","2023-05-26","","false","BBSF","true","true","","19,444,400","140,000,000","USD","CNY","","","","","","","","","","","","","","","","","19444400","","USD","","139999680","","CNY","","7.2","CNY/USD","2023-05-26","","","133,913.5828","USD","","","","","","","7.2","USD/CNY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","CALL","EUROPEAN","true","9.9999999999","","3","","","","",""
"722302180","549909247","CORR","","2023-01-04T17:20:48Z","","FX","ForeignExchange:VanillaOption","N","false","2023-01-04T17:20:48Z","2023-01-04","2023-01-18","","false","BBSF","false","true","","50,000,000","350,000,000","USD","CNY","","","","","","","","","","","","","","","","","50000000","","USD","","350000000","","CNY","","7","CNY/USD","2023-01-18","","","59,500","USD","","","","","","","7","USD/CNY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","CALL","EUROPEAN","true","9.9999999999","","3","","","","",""
"722302181","549909250","CORR","","2023-01-04T17:20:48Z","","FX","ForeignExchange:VanillaOption","N","false","2023-01-04T17:20:48Z","2023-01-04","2023-03-02","","false","BBSF","false","true","","25,714,250","180,000,000","USD","CNY","","","","","","","","","","","","","","","","","25714250","","USD","","179999750","","CNY","","7","CNY/USD","2023-03-02","","","113,656.985","USD","","","","","","","7","USD/CNY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","CALL","EUROPEAN","true","9.9999999999","","3","","","","",""
"722302182","549908566","CORR","","2022-12-22T18:29:51Z","","FX","ForeignExchange:VanillaOption","N","false","2022-12-22T18:29:51Z","2022-12-22","2023-05-26","","false","BBSF","true","true","","20,408,200","150,000,000","USD","CNY","","","","","","","","","","","","","","","","","20408200","","USD","","150000270","","CNY","","7.35","CNY/USD","2023-05-26","","","84,571.5808","USD","","","","","","","7.35","USD/CNY","false","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","","","CALL","EUROPEAN","true","9.9999999999","","3","","","","",""
