Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount-Leg 1,Call amount-Leg 2,Call currency-Leg 1,Call currency-Leg 2,Put amount-Leg 1,Put amount-Leg 2,Put currency-Leg 1,Put currency-Leg 2,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location-Leg 1,Settlement location-Leg 2,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type
"722302584","721002931","MODI","TRAD","2023-08-18T00:52:33Z","true","FX","ForeignExchange:NDF","N","false","2023-08-18T00:52:33Z","2023-08-18","2023-09-22","","false","XOFF","false","false","true","246,945","14,000,000","USD","PHP","","","","","","","","","","","","","","","","","","","","","","","","","56.693","USD/PHP","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","","false","","","","","","","","","","","false","","","","","","","","Cash"
"722302585","721002987","MODI","TRAD","2023-08-18T00:56:59Z","true","FX","ForeignExchange:NDF","N","false","2023-08-18T00:56:59Z","2023-08-18","2023-09-22","","false","XOFF","false","false","true","105,818","6,000,000","USD","PHP","","","","","","","","","","","","","","","","","","","","","","","","","56.701","USD/PHP","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","","false","","","","","","","","","","","false","","","","","","","","Cash"
"722302586","721002970","MODI","TRAD","2023-08-18T00:55:43Z","true","FX","ForeignExchange:NDF","N","false","2023-08-18T00:55:43Z","2023-08-18","2023-09-22","","false","XOFF","false","false","true","501,785","7,700,000,000","USD","IDR","","","","","","","","","","","","","","","","","","","","","","","","","15,345.2","USD/IDR","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","","false","","","","","","","","","","","false","","","","","","","","Cash"
"722302587","721002944","MODI","TRAD","2023-08-18T00:54:03Z","true","FX","ForeignExchange:NDF","N","false","2023-08-18T00:54:03Z","2023-08-18","2023-09-22","","false","XOFF","false","false","true","351,915","5,400,000,000","USD","IDR","","","","","","","","","","","","","","","","","","","","","","","","","15,344.7","USD/IDR","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","","false","","","","","","","","","","","false","","","","","","","","Cash"
"722302588","721002885","MODI","TRAD","2023-08-18T00:50:34Z","true","FX","ForeignExchange:NDF","N","false","2023-08-18T00:50:34Z","2023-08-18","2023-09-22","","false","XOFF","false","false","true","158,766","9,000,000","USD","PHP","","","","","","","","","","","","","","","","","","","","","","","","","56.687","USD/PHP","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","","false","","","","","","","","","","","false","","","","","","","","Cash"
"722302589","721002922","MODI","TRAD","2023-08-18T00:51:52Z","true","FX","ForeignExchange:NDF","N","false","2023-08-18T00:51:52Z","2023-08-18","2023-09-22","","false","XOFF","false","false","true","246,970","14,000,000","USD","PHP","","","","","","","","","","","","","","","","","","","","","","","","","56.687","USD/PHP","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","","false","","","","","","","","","","","false","","","","","","","","Cash"
"722302590","721002936","MODI","TRAD","2023-08-18T00:53:20Z","true","FX","ForeignExchange:NDF","N","false","2023-08-18T00:53:20Z","2023-08-18","2023-09-22","","false","XOFF","false","false","true","501,975","7,700,000,000","USD","IDR","","","","","","","","","","","","","","","","","","","","","","","","","15,339.4","USD/IDR","","","","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","USD","","","","","false","","","","","","","","","","","false","","","","","","","","Cash"

